transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
9785,72,1,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01 10:31:13.000000000
13424,2,1,2017-02-21,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 10:42:53.000000000
14486,23,1,2017-03-27,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 09:17:35.000000000
18970,11,1,2017-03-29,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,1970-01-01 09:49:38.000000000
3765,38,1,2017-04-06,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,1970-01-01 10:58:46.000000000
5157,47,1,2017-05-11,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 10:30:23.000000000
13644,25,1,2017-05-19,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 09:19:12.000000000
15663,32,1,2017-06-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01 11:16:58.000000000
16423,9,1,2017-12-09,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 10:30:38.000000000
14931,31,1,2017-12-14,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 10:22:17.000000000
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 10:41:22.000000000
2261,1,2,2017-05-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 11:19:44.000000000
6743,85,2,2017-06-11,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1970-01-01 10:36:46.000000000
16411,26,2,2017-08-24,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1970-01-01 10:22:17.000000000
10302,33,3,2017-02-23,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 11:23:29.000000000
15188,82,3,2017-03-24,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,1970-01-01 10:24:59.000000000
12954,77,3,2017-04-05,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,1970-01-01 10:13:53.000000000
11784,55,3,2017-04-21,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1970-01-01 11:35:01.000000000
16725,90,3,2017-06-26,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01 11:11:43.000000000
13285,47,3,2017-09-04,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 11:11:43.000000000
11005,94,3,2017-09-16,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01 11:23:29.000000000
19498,5,3,2017-09-19,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 10:02:25.000000000
12441,95,4,2017-04-03,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,1970-01-01 10:31:14.000000000
14648,62,4,2017-06-18,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1970-01-01 09:29:03.000000000
2291,23,5,2017-03-03,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1970-01-01 09:30:44.000000000
19993,13,5,2017-04-28,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,1970-01-01 11:04:40.000000000
2534,84,5,2017-05-03,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,1970-01-01 10:27:06.000000000
13058,96,5,2017-05-26,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,1970-01-01 09:16:04.000000000
2250,34,5,2017-08-16,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 10:58:46.000000000
7692,39,5,2017-12-14,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,1970-01-01 10:58:46.000000000
7096,77,6,2017-01-28,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 11:37:28.000000000
8204,12,6,2017-02-06,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 11:43:46.000000000
902,0,6,2017-05-21,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1970-01-01 09:16:04.000000000
4013,0,6,2017-09-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 10:06:01.000000000
5749,54,6,2017-10-27,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 11:13:30.000000000
18369,72,7,2017-02-18,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01 10:24:59.000000000
18549,22,7,2017-02-24,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01 11:46:44.000000000
3954,5,7,2017-04-21,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 10:37:38.000000000
10792,89,8,2017-01-04,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 11:49:20.000000000
19844,3,8,2017-01-28,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 10:30:23.000000000
8415,76,8,2017-04-11,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 10:41:22.000000000
15024,1,8,2017-04-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 09:54:27.000000000
7636,34,8,2017-07-13,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1970-01-01 11:24:24.000000000
17199,45,8,2017-08-11,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1970-01-01 11:42:52.000000000
3688,15,8,2017-09-22,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,1970-01-01 11:29:05.000000000
13266,4,8,2017-10-04,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 10:28:18.000000000
9039,4,8,2017-10-21,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 10:28:18.000000000
5321,3,8,2017-12-08,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 10:30:23.000000000
8591,69,9,2017-02-04,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 11:38:42.000000000
2979,85,9,2017-03-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1970-01-01 10:06:07.000000000
2501,59,9,2017-05-10,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,1970-01-01 11:42:52.000000000
9405,6,9,2017-08-20,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1970-01-01 11:35:01.000000000
10662,38,9,2017-09-30,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,1970-01-01 11:12:16.000000000
4233,36,9,2017-10-13,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1970-01-01 11:12:16.000000000
5956,21,10,2017-06-20,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 09:28:35.000000000
10250,44,10,2017-07-13,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 10:57:07.000000000
14899,69,10,2017-08-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 10:47:39.000000000
